2026-02-27 12:19:42.091778 - FACE_LOCKED: Face locked: Dieudonne
2026-02-27 12:19:46.246104 - HEAD_LEFT: Moved left by 22.1px
2026-02-27 12:19:46.419092 - HEAD_LEFT: Moved left by 23.9px
2026-02-27 12:19:46.592448 - HEAD_LEFT: Moved left by 69.8px
2026-02-27 12:19:46.687146 - HEAD_LEFT: Moved left by 11.9px
2026-02-27 12:19:46.821213 - HEAD_LEFT: Moved left by 45.9px
2026-02-27 12:19:46.963387 - HEAD_LEFT: Moved left by 53.9px
2026-02-27 12:19:47.055648 - HEAD_LEFT: Moved left by 70.5px
2026-02-27 12:19:47.546622 - HEAD_LEFT: Moved left by 64.8px
2026-02-27 12:19:47.639781 - HEAD_RIGHT: Moved right by 13.8px
2026-02-27 12:19:47.908845 - HEAD_RIGHT: Moved right by 50.9px
2026-02-27 12:19:47.996663 - HEAD_RIGHT: Moved right by 85.7px
2026-02-27 12:19:48.083123 - HEAD_RIGHT: Moved right by 16.8px
2026-02-27 12:19:48.437366 - HEAD_RIGHT: Moved right by 40.9px
2026-02-27 12:19:48.935961 - HEAD_RIGHT: Moved right by 136.0px
2026-02-27 12:19:52.046197 - HEAD_RIGHT: Moved right by 402.4px
2026-02-27 12:19:52.172200 - HEAD_LEFT: Moved left by 13.7px
2026-02-27 12:19:52.287345 - HEAD_LEFT: Moved left by 12.0px
2026-02-27 12:19:52.414325 - HEAD_LEFT: Moved left by 778.3px
2026-02-27 12:19:52.414325 - SMILE: Smile detected (ratio: 11.85)
2026-02-27 12:19:52.534233 - HEAD_RIGHT: Moved right by 734.7px
2026-02-27 12:19:52.656411 - HEAD_LEFT: Moved left by 36.0px
2026-02-27 12:19:52.775277 - HEAD_LEFT: Moved left by 26.9px
2026-02-27 12:19:52.873084 - HEAD_LEFT: Moved left by 634.3px
2026-02-27 12:19:52.873084 - EYE_BLINK: Blink detected
2026-02-27 12:19:52.873084 - SMILE: Smile detected (ratio: 9.19)
2026-02-27 12:19:52.958896 - HEAD_RIGHT: Moved right by 38.4px
2026-02-27 12:19:53.082250 - HEAD_RIGHT: Moved right by 712.8px
2026-02-27 12:19:53.218819 - HEAD_LEFT: Moved left by 43.1px
2026-02-27 12:19:53.389326 - HEAD_LEFT: Moved left by 55.7px
2026-02-27 12:19:53.684999 - HEAD_LEFT: Moved left by 33.3px
2026-02-27 12:19:53.933465 - HEAD_LEFT: Moved left by 59.6px
2026-02-27 12:19:54.040522 - HEAD_LEFT: Moved left by 40.6px
2026-02-27 12:19:54.127252 - HEAD_LEFT: Moved left by 38.0px
2026-02-27 12:19:54.234336 - HEAD_LEFT: Moved left by 31.0px
2026-02-27 12:19:54.325502 - HEAD_LEFT: Moved left by 32.0px
2026-02-27 12:19:54.443465 - HEAD_LEFT: Moved left by 51.3px
2026-02-27 12:19:54.532722 - HEAD_LEFT: Moved left by 18.8px
2026-02-27 12:19:54.609347 - HEAD_LEFT: Moved left by 63.9px
2026-02-27 12:19:54.722345 - HEAD_LEFT: Moved left by 41.8px
