2026-06-12 13:15:54.347018 - FACE_LOCKED: Face locked: Jeremie
2026-06-12 13:15:54.507459 - SMILE: Smile detected (ratio: 222.00)
2026-06-12 13:15:54.980409 - SMILE: Smile detected (ratio: 858.68)
2026-06-12 13:15:55.305005 - SMILE: Smile detected (ratio: 116.09)
2026-06-12 13:15:55.383804 - SMILE: Smile detected (ratio: 230.12)
2026-06-12 13:15:55.484524 - SMILE: Smile detected (ratio: 3465.59)
2026-06-12 13:15:55.915993 - SMILE: Smile detected (ratio: 64.15)
2026-06-12 13:15:56.405589 - SMILE: Smile detected (ratio: 227.98)
2026-06-12 13:15:57.547563 - SMILE: Smile detected (ratio: 204.52)
2026-06-12 13:15:58.154525 - SMILE: Smile detected (ratio: 44.80)
2026-06-12 13:16:03.674859 - SMILE: Smile detected (ratio: 39.21)
2026-06-12 13:16:03.975017 - SMILE: Smile detected (ratio: 49.58)
2026-06-12 13:16:04.808980 - SMILE: Smile detected (ratio: 134.16)
2026-06-12 13:16:05.012563 - SMILE: Smile detected (ratio: 82.48)
2026-06-12 13:16:05.296629 - SMILE: Smile detected (ratio: 161.73)
2026-06-12 13:16:07.270141 - SMILE: Smile detected (ratio: 64.19)
2026-06-12 13:16:07.451732 - SMILE: Smile detected (ratio: 191.13)
2026-06-12 13:16:07.548541 - SMILE: Smile detected (ratio: 409.48)
2026-06-12 13:16:09.155122 - SMILE: Smile detected (ratio: 71.55)
2026-06-12 13:16:09.442740 - SMILE: Smile detected (ratio: 111.79)
2026-06-12 13:16:10.046360 - SMILE: Smile detected (ratio: 193.39)
2026-06-12 13:16:10.144496 - SMILE: Smile detected (ratio: 2200.21)
2026-06-12 13:16:10.544134 - SMILE: Smile detected (ratio: 1329.72)
2026-06-12 13:16:12.028918 - SMILE: Smile detected (ratio: 35.08)
2026-06-12 13:16:12.333190 - SMILE: Smile detected (ratio: 87.20)
2026-06-12 13:16:12.522283 - SMILE: Smile detected (ratio: 1556.34)
2026-06-12 13:16:12.848234 - SMILE: Smile detected (ratio: 176.90)
