2026-02-06 13:38:38.134736 - FACE_LOCKED: Face locked: Manene
2026-02-06 13:38:38.906246 - HEAD_LEFT: Moved left by 10.9px
2026-02-06 13:38:39.007270 - HEAD_LEFT: Moved left by 30.8px
2026-02-06 13:38:40.099217 - HEAD_RIGHT: Moved right by 24.8px
2026-02-06 13:38:40.099217 - EYE_BLINK: Blink detected
2026-02-06 13:38:40.213270 - SMILE: Smile detected (ratio: 31.19)
2026-02-06 13:38:40.839700 - SMILE: Smile detected (ratio: 79.37)
2026-02-06 13:38:42.370775 - HEAD_RIGHT: Moved right by 18.4px
2026-02-06 13:38:42.487030 - HEAD_RIGHT: Moved right by 18.1px
2026-02-06 13:38:42.487030 - SMILE: Smile detected (ratio: 175.94)
2026-02-06 13:38:42.570306 - HEAD_RIGHT: Moved right by 10.3px
2026-02-06 13:38:42.570306 - SMILE: Smile detected (ratio: 299.75)
2026-02-06 13:38:42.982013 - HEAD_LEFT: Moved left by 23.4px
2026-02-06 13:38:42.982013 - SMILE: Smile detected (ratio: 57.72)
2026-02-06 13:38:43.102943 - HEAD_LEFT: Moved left by 26.6px
2026-02-06 13:38:43.208536 - HEAD_LEFT: Moved left by 22.3px
2026-02-06 13:38:43.375983 - HEAD_LEFT: Moved left by 14.7px
2026-02-06 13:38:43.866189 - HEAD_RIGHT: Moved right by 16.0px
2026-02-06 13:38:43.997265 - HEAD_RIGHT: Moved right by 20.7px
2026-02-06 13:38:44.623410 - SMILE: Smile detected (ratio: 37.13)
2026-02-06 13:38:45.133200 - HEAD_LEFT: Moved left by 10.4px
2026-02-06 13:38:45.760322 - HEAD_RIGHT: Moved right by 14.0px
2026-02-06 13:38:46.301149 - SMILE: Smile detected (ratio: 54.54)
