2026-02-06 11:38:12.700594 - FACE_LOCKED: Face locked: Salim
2026-02-06 11:38:12.819607 - SMILE: Smile detected (ratio: 275.40)
2026-02-06 11:38:13.031299 - SMILE: Smile detected (ratio: 1236.71)
2026-02-06 11:38:13.147850 - SMILE: Smile detected (ratio: 4058.80)
2026-02-06 11:38:13.276854 - SMILE: Smile detected (ratio: 3126.98)
2026-02-06 11:38:13.526028 - SMILE: Smile detected (ratio: 1281.06)
2026-02-06 11:38:13.808977 - SMILE: Smile detected (ratio: 198.83)
2026-02-06 11:38:13.867215 - SMILE: Smile detected (ratio: 763.25)
2026-02-06 11:38:14.166854 - SMILE: Smile detected (ratio: 4136.39)
2026-02-06 11:38:14.509049 - SMILE: Smile detected (ratio: 524.93)
2026-02-06 11:38:14.786932 - SMILE: Smile detected (ratio: 282.17)
2026-02-06 11:38:15.072314 - SMILE: Smile detected (ratio: 152.88)
2026-02-06 11:38:15.292889 - SMILE: Smile detected (ratio: 261.24)
2026-02-06 11:38:15.446822 - SMILE: Smile detected (ratio: 109.91)
2026-02-06 11:38:15.503135 - SMILE: Smile detected (ratio: 185.47)
2026-02-06 11:38:15.966166 - SMILE: Smile detected (ratio: 2051.89)
2026-02-06 11:38:16.184148 - SMILE: Smile detected (ratio: 92.93)
2026-02-06 11:38:16.244346 - SMILE: Smile detected (ratio: 306.25)
2026-02-06 11:38:16.600143 - SMILE: Smile detected (ratio: 88.25)
2026-02-06 11:38:17.168667 - SMILE: Smile detected (ratio: 96.14)
2026-02-06 11:38:18.201037 - SMILE: Smile detected (ratio: 64.60)
2026-02-06 11:38:19.220737 - SMILE: Smile detected (ratio: 49.49)
2026-02-06 11:38:19.848232 - SMILE: Smile detected (ratio: 54.77)
2026-02-06 11:38:20.821779 - SMILE: Smile detected (ratio: 46.37)
2026-02-06 11:38:21.256136 - SMILE: Smile detected (ratio: 63.58)
2026-02-06 11:38:21.311354 - HEAD_RIGHT: Moved right by 14.9px
2026-02-06 11:38:21.311354 - EYE_BLINK: Blink detected
2026-02-06 11:38:21.446432 - HEAD_LEFT: Moved left by 15.3px
2026-02-06 11:38:21.446432 - SMILE: Smile detected (ratio: 126.32)
2026-02-06 11:38:22.202031 - SMILE: Smile detected (ratio: 43.11)
2026-02-06 11:38:22.361991 - SMILE: Smile detected (ratio: 52.38)
2026-02-06 11:38:22.488723 - SMILE: Smile detected (ratio: 161.73)
2026-02-06 11:38:22.693494 - SMILE: Smile detected (ratio: 206.46)
2026-02-06 11:38:23.599678 - SMILE: Smile detected (ratio: 43.35)
2026-02-06 11:38:23.847104 - SMILE: Smile detected (ratio: 3369.67)
2026-02-06 11:38:24.721901 - SMILE: Smile detected (ratio: 35.46)
2026-02-06 11:38:24.840023 - SMILE: Smile detected (ratio: 70.48)
2026-02-06 11:38:24.897021 - SMILE: Smile detected (ratio: 114.86)
2026-02-06 11:38:25.076183 - SMILE: Smile detected (ratio: 377.98)
2026-02-06 11:38:25.721920 - SMILE: Smile detected (ratio: 26.23)
2026-02-06 11:38:26.077974 - SMILE: Smile detected (ratio: 52.07)
2026-02-06 11:38:26.820431 - HEAD_LEFT: Moved left by 482.0px
2026-02-06 11:38:26.820431 - SMILE: Smile detected (ratio: 58.70)
2026-02-06 11:38:26.894544 - HEAD_RIGHT: Moved right by 481.7px
2026-02-06 11:38:26.959981 - HEAD_LEFT: Moved left by 479.5px
2026-02-06 11:38:26.959981 - SMILE: Smile detected (ratio: 77.60)
2026-02-06 11:38:27.027310 - HEAD_RIGHT: Moved right by 479.3px
2026-02-06 11:38:27.683525 - HEAD_LEFT: Moved left by 474.5px
2026-02-06 11:38:27.683525 - SMILE: Smile detected (ratio: 159.75)
2026-02-06 11:38:27.754608 - HEAD_RIGHT: Moved right by 474.8px
2026-02-06 11:38:28.887161 - HEAD_LEFT: Moved left by 473.1px
2026-02-06 11:38:28.887161 - SMILE: Smile detected (ratio: 264.18)
2026-02-06 11:38:28.960211 - HEAD_RIGHT: Moved right by 473.7px
2026-02-06 11:38:29.178197 - HEAD_LEFT: Moved left by 472.1px
2026-02-06 11:38:29.178197 - SMILE: Smile detected (ratio: 203.34)
2026-02-06 11:38:29.247225 - HEAD_RIGHT: Moved right by 472.2px
2026-02-06 11:38:31.157960 - SMILE: Smile detected (ratio: 43.14)
2026-02-06 11:38:31.491398 - SMILE: Smile detected (ratio: 304.81)
2026-02-06 11:38:31.567963 - HEAD_LEFT: Moved left by 473.2px
2026-02-06 11:38:31.618464 - SMILE: Smile detected (ratio: 373.42)
2026-02-06 11:38:32.030363 - HEAD_RIGHT: Moved right by 470.3px
2026-02-06 11:38:32.476341 - HEAD_LEFT: Moved left by 468.2px
2026-02-06 11:38:32.596996 - HEAD_RIGHT: Moved right by 467.9px
2026-02-06 11:38:32.832662 - SMILE: Smile detected (ratio: 69.00)
2026-02-06 11:38:32.911015 - SMILE: Smile detected (ratio: 113.84)
2026-02-06 11:38:32.988156 - SMILE: Smile detected (ratio: 194.21)
2026-02-06 11:38:33.290726 - SMILE: Smile detected (ratio: 110.42)
2026-02-06 11:38:33.753972 - SMILE: Smile detected (ratio: 106.28)
